ID_Consulta,Tipo_Consulta,Consulta,Respuesta_SAE,Departamento_SAE,Satisfaccion_Cliente,Tiempo_Respuesta_Minutos
684,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,4,15
685,Bolsa Laboral,¿Cómo solicito una asesoría de empleabilidad?,"1. Entra a la plataforma.
2. Agenda una cita con un asesor.
3. Prepara tu CV y objetivos laborales.",Bolsa Laboral,3,25
686,Tecnológica,¿Qué debo hacer si no puedo acceder al campus virtual desde casa?,"Verifica tu conexión a internet. Luego:
1. Borra caché del navegador.
2. Intenta ingresar desde otro navegador.
3. Si persiste, contacta a Soporte TI desde el correo soporte@utp.edu.pe.",Tecnológica,4,10
687,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,5,45
688,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,5,10
689,Tecnológica,¿Qué debo hacer si no puedo acceder al campus virtual desde casa?,"Verifica tu conexión a internet. Luego:
1. Borra caché del navegador.
2. Intenta ingresar desde otro navegador.
3. Si persiste, contacta a Soporte TI desde el correo soporte@utp.edu.pe.",Tecnológica,3,20
690,Administrativa,¿Qué debo hacer si mis datos personales están incorrectos en el sistema?,"1. Dirígete a Secretaría Académica.
2. Presenta tu DNI.
3. Solicita la actualización de tus datos.",Administrativa,3,15
691,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,5,25
692,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,5,20
693,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,5,30
694,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,4,60
695,Tecnológica,¿Qué debo hacer si no puedo acceder al campus virtual desde casa?,"Verifica tu conexión a internet. Luego:
1. Borra caché del navegador.
2. Intenta ingresar desde otro navegador.
3. Si persiste, contacta a Soporte TI desde el correo soporte@utp.edu.pe.",Tecnológica,3,45
696,Bolsa Laboral,¿Cómo solicito una asesoría de empleabilidad?,"1. Entra a la plataforma.
2. Agenda una cita con un asesor.
3. Prepara tu CV y objetivos laborales.",Bolsa Laboral,5,30
697,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,3,15
698,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,3,20
699,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,5,25
700,Administrativa,¿Dónde reviso el reglamento de sanciones y faltas?,"En la intranet, sección 'Documentos Institucionales', encontrarás el reglamento actualizado.",Administrativa,4,10
701,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,4,25
702,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,4,20
703,Administrativa,¿Cómo obtengo un duplicado de mi carné universitario?,"1. Solicita el duplicado en la plataforma.
2. Paga el derecho correspondiente en Tesorería.
3. Acércate a Secretaría Académica con tu voucher.",Administrativa,3,20
704,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,4,25
705,Bienestar,¿Cómo puedo agendar una cita con un psicólogo universitario?,"1. Accede al portal de Bienestar Universitario.
2. Selecciona 'Agenda de citas'.
3. Elige día y hora.
4. Recibirás una confirmación por correo.",Bienestar,3,45
706,Biblioteca,¿Cómo accedo a libros digitales desde casa?,"1. Ingresa a biblioteca.utp.edu.pe.
2. Inicia sesión con tu usuario.
3. Elige 'Recursos digitales'.
4. Busca el título requerido.",Biblioteca,3,45
707,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,5,25
708,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,3,60
709,Financiera,¿Qué hago si ya pagué pero no se refleja el abono en mi cuenta?,"1. Espera 24h tras el pago.
2. Si no se refleja, envía el voucher escaneado a tesoreria@utp.edu.pe con tu código de alumno.
3. Verifica en 48h.",Financiera,3,15
710,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,4,45
711,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,4,30
712,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,4,45
713,Administrativa,¿Cómo obtengo un duplicado de mi carné universitario?,"1. Solicita el duplicado en la plataforma.
2. Paga el derecho correspondiente en Tesorería.
3. Acércate a Secretaría Académica con tu voucher.",Administrativa,3,10
714,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,3,30
715,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,4,25
716,Financiera,¿Dónde puedo ver el cronograma de pagos?,"1. Ingresa al campus virtual.
2. Dirígete a la opción 'Pagos y cronogramas'.
3. Selecciona tu ciclo y carrera.",Financiera,5,25
717,Administrativa,¿Qué debo hacer si mis datos personales están incorrectos en el sistema?,"1. Dirígete a Secretaría Académica.
2. Presenta tu DNI.
3. Solicita la actualización de tus datos.",Administrativa,4,25
718,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,3,45
719,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,3,20
720,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,4,10
721,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,4,20
722,Bienestar,¿Cómo puedo agendar una cita con un psicólogo universitario?,"1. Accede al portal de Bienestar Universitario.
2. Selecciona 'Agenda de citas'.
3. Elige día y hora.
4. Recibirás una confirmación por correo.",Bienestar,3,15
723,Administrativa,¿Dónde reviso el reglamento de sanciones y faltas?,"En la intranet, sección 'Documentos Institucionales', encontrarás el reglamento actualizado.",Administrativa,3,60
724,Tecnológica,¿Qué debo hacer si no puedo acceder al campus virtual desde casa?,"Verifica tu conexión a internet. Luego:
1. Borra caché del navegador.
2. Intenta ingresar desde otro navegador.
3. Si persiste, contacta a Soporte TI desde el correo soporte@utp.edu.pe.",Tecnológica,5,30
725,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,5,60
726,Tecnológica,¿Qué debo hacer si no puedo acceder al campus virtual desde casa?,"Verifica tu conexión a internet. Luego:
1. Borra caché del navegador.
2. Intenta ingresar desde otro navegador.
3. Si persiste, contacta a Soporte TI desde el correo soporte@utp.edu.pe.",Tecnológica,4,60
727,Financiera,¿Dónde puedo ver el cronograma de pagos?,"1. Ingresa al campus virtual.
2. Dirígete a la opción 'Pagos y cronogramas'.
3. Selecciona tu ciclo y carrera.",Financiera,5,25
728,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,4,30
729,Administrativa,¿Cómo obtengo un duplicado de mi carné universitario?,"1. Solicita el duplicado en la plataforma.
2. Paga el derecho correspondiente en Tesorería.
3. Acércate a Secretaría Académica con tu voucher.",Administrativa,3,30
730,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,4,10
731,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,4,45
732,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,3,60
733,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,3,15
734,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,4,20
735,Biblioteca,¿Cómo solicito un libro que no está en la biblioteca?,Puedes usar el formulario 'Solicitud de libros' en la web de biblioteca para que evalúen su adquisición.,Biblioteca,3,20
736,Administrativa,¿Qué debo hacer si mis datos personales están incorrectos en el sistema?,"1. Dirígete a Secretaría Académica.
2. Presenta tu DNI.
3. Solicita la actualización de tus datos.",Administrativa,5,30
737,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,5,45
738,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,5,30
739,Bienestar,¿Cómo puedo agendar una cita con un psicólogo universitario?,"1. Accede al portal de Bienestar Universitario.
2. Selecciona 'Agenda de citas'.
3. Elige día y hora.
4. Recibirás una confirmación por correo.",Bienestar,3,20
740,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,3,10
741,Trámite,¿Qué requisitos debo presentar para solicitar un traslado a otra sede?,"Necesitas:
- Solicitud formal
- Constancia de notas
- DNI escaneado
Envía todo a secretaria.general@utp.edu.pe",Secretaría General,3,60
742,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,5,25
743,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,5,20
744,Trámite,¿Qué requisitos debo presentar para solicitar un traslado a otra sede?,"Necesitas:
- Solicitud formal
- Constancia de notas
- DNI escaneado
Envía todo a secretaria.general@utp.edu.pe",Secretaría General,3,60
745,Bolsa Laboral,¿Cómo me registro en la Bolsa Laboral UTP?,"1. Accede a empleabilidad.utp.edu.pe
2. Inicia sesión con tu cuenta institucional.
3. Completa tu perfil.
4. Aplica a convocatorias activas.",Bolsa Laboral,5,30
746,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,4,15
747,Trámite,¿Cómo solicito constancia de matrícula o estudios?,"1. Ingresa al campus virtual.
2. Ve a 'Trámites'.
3. Selecciona el tipo de constancia.
4. Realiza el pago y espera 3 días hábiles.",Secretaría General,5,10
748,Financiera,¿Qué hago si ya pagué pero no se refleja el abono en mi cuenta?,"1. Espera 24h tras el pago.
2. Si no se refleja, envía el voucher escaneado a tesoreria@utp.edu.pe con tu código de alumno.
3. Verifica en 48h.",Financiera,4,15
749,Bolsa Laboral,¿Cómo solicito una asesoría de empleabilidad?,"1. Entra a la plataforma.
2. Agenda una cita con un asesor.
3. Prepara tu CV y objetivos laborales.",Bolsa Laboral,3,15
750,Financiera,¿Qué hago si ya pagué pero no se refleja el abono en mi cuenta?,"1. Espera 24h tras el pago.
2. Si no se refleja, envía el voucher escaneado a tesoreria@utp.edu.pe con tu código de alumno.
3. Verifica en 48h.",Financiera,5,60
751,Trámite,¿Qué requisitos debo presentar para solicitar un traslado a otra sede?,"Necesitas:
- Solicitud formal
- Constancia de notas
- DNI escaneado
Envía todo a secretaria.general@utp.edu.pe",Secretaría General,3,10
752,Biblioteca,¿Cómo accedo a libros digitales desde casa?,"1. Ingresa a biblioteca.utp.edu.pe.
2. Inicia sesión con tu usuario.
3. Elige 'Recursos digitales'.
4. Busca el título requerido.",Biblioteca,4,45
753,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,4,15
754,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,4,30
755,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,5,45
756,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,4,45
757,Biblioteca,¿Cómo accedo a libros digitales desde casa?,"1. Ingresa a biblioteca.utp.edu.pe.
2. Inicia sesión con tu usuario.
3. Elige 'Recursos digitales'.
4. Busca el título requerido.",Biblioteca,4,45
758,Biblioteca,¿Cómo accedo a libros digitales desde casa?,"1. Ingresa a biblioteca.utp.edu.pe.
2. Inicia sesión con tu usuario.
3. Elige 'Recursos digitales'.
4. Busca el título requerido.",Biblioteca,5,25
759,Financiera,¿Qué hago si ya pagué pero no se refleja el abono en mi cuenta?,"1. Espera 24h tras el pago.
2. Si no se refleja, envía el voucher escaneado a tesoreria@utp.edu.pe con tu código de alumno.
3. Verifica en 48h.",Financiera,3,15
760,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,5,25
761,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,4,30
762,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,5,60
763,Administrativa,¿Dónde reviso el reglamento de sanciones y faltas?,"En la intranet, sección 'Documentos Institucionales', encontrarás el reglamento actualizado.",Administrativa,3,45
764,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,4,15
765,Bienestar,¿La universidad brinda apoyo en caso de violencia familiar?,Sí. Puedes contactarte con el área de Bienestar y solicitar apoyo psicológico o legal. Todo es confidencial.,Bienestar,5,45
766,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,5,15
767,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,4,15
768,Trámite,¿Cómo solicito constancia de matrícula o estudios?,"1. Ingresa al campus virtual.
2. Ve a 'Trámites'.
3. Selecciona el tipo de constancia.
4. Realiza el pago y espera 3 días hábiles.",Secretaría General,3,45
769,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,3,20
770,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,5,25
771,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,4,20
772,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,5,60
773,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,3,25
774,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,5,15
775,Tecnológica,¿Cómo restablezco mi contraseña de correo institucional?,"Debes:
1. Ir a portal.utp.edu.pe.
2. Haz clic en '¿Olvidaste tu contraseña?'
3. Ingresa tu DNI y responde tu pregunta de seguridad.
4. Sigue el enlace enviado a tu correo alternativo.",Tecnológica,3,25
776,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,5,15
777,Bienestar,¿La universidad brinda apoyo en caso de violencia familiar?,Sí. Puedes contactarte con el área de Bienestar y solicitar apoyo psicológico o legal. Todo es confidencial.,Bienestar,4,20
778,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,5,10
779,Bolsa Laboral,¿Cómo solicito una asesoría de empleabilidad?,"1. Entra a la plataforma.
2. Agenda una cita con un asesor.
3. Prepara tu CV y objetivos laborales.",Bolsa Laboral,5,30
780,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,3,15
781,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,4,20
782,Trámite,¿Cómo solicito constancia de matrícula o estudios?,"1. Ingresa al campus virtual.
2. Ve a 'Trámites'.
3. Selecciona el tipo de constancia.
4. Realiza el pago y espera 3 días hábiles.",Secretaría General,4,60
783,Financiera,¿Dónde puedo ver el cronograma de pagos?,"1. Ingresa al campus virtual.
2. Dirígete a la opción 'Pagos y cronogramas'.
3. Selecciona tu ciclo y carrera.",Financiera,5,45
784,Biblioteca,¿Cómo solicito un libro que no está en la biblioteca?,Puedes usar el formulario 'Solicitud de libros' en la web de biblioteca para que evalúen su adquisición.,Biblioteca,4,20
785,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,5,60
786,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,4,15
787,Bienestar,¿Cómo puedo agendar una cita con un psicólogo universitario?,"1. Accede al portal de Bienestar Universitario.
2. Selecciona 'Agenda de citas'.
3. Elige día y hora.
4. Recibirás una confirmación por correo.",Bienestar,3,20
788,Financiera,¿Cómo solicito un fraccionamiento de mis pagos?,"1. Ingresa a la plataforma académica.
2. Ve a 'Tesorería > Fraccionamiento'.
3. Elige el número de cuotas.
4. Acepta los términos y envía la solicitud.",Financiera,4,30
789,Bolsa Laboral,¿Cómo solicito una asesoría de empleabilidad?,"1. Entra a la plataforma.
2. Agenda una cita con un asesor.
3. Prepara tu CV y objetivos laborales.",Bolsa Laboral,5,15
790,Administrativa,¿Dónde reviso el reglamento de sanciones y faltas?,"En la intranet, sección 'Documentos Institucionales', encontrarás el reglamento actualizado.",Administrativa,4,15
791,Bienestar,¿La universidad brinda apoyo en caso de violencia familiar?,Sí. Puedes contactarte con el área de Bienestar y solicitar apoyo psicológico o legal. Todo es confidencial.,Bienestar,3,10
792,Trámite,¿Cómo tramito mi certificado de egresado?,"1. Finaliza todos tus cursos.
2. Ingresa al portal y solicita el certificado.
3. Paga el derecho respectivo.
4. Recibirás el documento digital.",Secretaría General,5,15
793,Administrativa,¿Cómo obtengo un duplicado de mi carné universitario?,"1. Solicita el duplicado en la plataforma.
2. Paga el derecho correspondiente en Tesorería.
3. Acércate a Secretaría Académica con tu voucher.",Administrativa,4,15
794,Biblioteca,¿Cómo solicito un libro que no está en la biblioteca?,Puedes usar el formulario 'Solicitud de libros' en la web de biblioteca para que evalúen su adquisición.,Biblioteca,3,20
795,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,4,25
796,Administrativa,¿Cómo obtengo un duplicado de mi carné universitario?,"1. Solicita el duplicado en la plataforma.
2. Paga el derecho correspondiente en Tesorería.
3. Acércate a Secretaría Académica con tu voucher.",Administrativa,3,25
797,Bienestar,¿Qué servicios ofrece Bienestar Universitario durante el ciclo?,"Incluye:
- Asesoría psicológica
- Orientación vocacional
- Ferias de salud
- Actividades deportivas y culturales",Bienestar,5,25
798,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,4,20
799,Trámite,¿Cómo solicito constancia de matrícula o estudios?,"1. Ingresa al campus virtual.
2. Ve a 'Trámites'.
3. Selecciona el tipo de constancia.
4. Realiza el pago y espera 3 días hábiles.",Secretaría General,3,45
800,Bolsa Laboral,¿Qué talleres ofrece la Bolsa Laboral para estudiantes?,"Incluye talleres de:
- Elaboración de CV
- Entrevista laboral
- LinkedIn profesional
- Networking empresarial.",Bolsa Laboral,5,10
801,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,3,10
802,Internacional,¿Qué necesito para postular a un programa de intercambio?,"Requisitos:
1. Promedio >13
2. Inglés nivel B1
3. No tener sanciones
4. Postular en fechas oficiales desde la web de Internacionalización.",Internacional,4,30
803,Bienestar,¿Cómo puedo agendar una cita con un psicólogo universitario?,"1. Accede al portal de Bienestar Universitario.
2. Selecciona 'Agenda de citas'.
3. Elige día y hora.
4. Recibirás una confirmación por correo.",Bienestar,3,20
804,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,4,10
805,Biblioteca,¿Cómo solicito un libro que no está en la biblioteca?,Puedes usar el formulario 'Solicitud de libros' en la web de biblioteca para que evalúen su adquisición.,Biblioteca,3,45
806,Internacional,¿Qué beneficios ofrece un intercambio académico?,"Incluye:
- Cursos convalidables
- Experiencia multicultural
- Apoyo con trámites
- Orientación personalizada por la UTP.",Internacional,4,25
807,Internacional,¿Cómo accedo a las charlas informativas sobre movilidad estudiantil?,Revisa el calendario de eventos en utp.edu.pe/movilidad o inscríbete en el campus virtual en la sección 'Eventos Internacionales'.,Internacional,4,45
808,Tecnológica,¿Cómo configuro mi correo institucional en el celular?,"Sigue estos pasos:
1. Abre tu app de correo.
2. Añade nueva cuenta.
3. Ingresa tu correo UTP y contraseña.
4. Usa el servidor IMAP: outlook.office365.com
5. Guarda los cambios.",Tecnológica,3,60
809,Biblioteca,¿Qué pasa si entrego un libro con retraso?,"Se genera una multa por día de retraso. Para evitarla, puedes renovar el préstamo desde tu cuenta antes de la fecha límite.",Biblioteca,5,60
810,Trámite,¿Cómo solicito constancia de matrícula o estudios?,"1. Ingresa al campus virtual.
2. Ve a 'Trámites'.
3. Selecciona el tipo de constancia.
4. Realiza el pago y espera 3 días hábiles.",Secretaría General,4,45
